"name","stadium","website","matchNumber","winMatchNumber","lossMatchNumber","goalConceded","cleanSheetMatch","goal","leaguePosition","marketValue"
"Arsenal","Emirates Stadium","www.arsenal.com","1152","619","249","1148","436","2017","5",479000000
"Aston Villa","Villa Park","www.avfc.co.uk","1039","354","388","1353","301","1265","14",440000000
"Brentford","Brentford Community Stadium","www.brentfordfc.com","38","13","18","56","9","48","13",271000000
"Brighton and Hove Albion","Amex Stadium","www.brightonandhovealbion.com","190","48","77","258","49","191","9",255000000
"Burnley","Turf Moor","www.burnleyfootballclub.com","304","83","145","455","78","300","18",198000000
"Chelsea","Stamford Bridge","www.chelseafc.com","1152","618","250","1125","463","1973","3",789000000
"Crystal Palace","Selhurst Park","www.cpfc.co.uk","502","145","228","726","127","547","12",302000000
"Everton","Goodison Park","www.evertonfc.com","1152","418","414","1481","350","1491","16",399000000
"Leeds United","Elland Road","www.leedsunited.com/","544","216","187","706","174","745","17",270000000
"Leicester City","King Power Stadium","www.lcfc.com","612","209","243","870","161","820","8",453000000
"Liverpool","Anfield","www.liverpoolfc.com","1153","609","261","1147","442","2021","2",861000000
"Manchester City","Etihad Stadium","www.mancity.com","962","473","279","1068","334","1658","1",958000000
"Manchester United","Old Trafford","www.manutd.com","1153","703","192","1066","478","2185","6",630000000
"Newcastle United","St. James' Park","www.nufc.co.uk","1034","382","388","1417","267","1377","11",302000000
"Norwich City","Carrow Road","www.canaries.co.uk","392","99","188","669","78","414","20",166000000
"Southampton","St. Mary's Stadium","www.southamptonfc.com","886","274","371","1282","233","1079","15",288000000
"Tottenham Hotspur","Tottenham Hotspur Stadium","www.tottenhamhotspur.com","1152","502","369","1438","330","1745","4",612000000
"Watford","Vicarage Road","www.watfordfc.com","305","73","165","518","62","310","19",158000000
"West Ham United","London Stadium","www.whufc.com","996","335","408","1429","259","1235","7",371000000
"Wolverhampton Wanderers","Molineux Stadium","www.wolves.co.uk","304","90","136","462","67","329","10",322000000