"name","phone","address","pitchSize","capacity","builtYear","team"
"Emirates Stadium","+44 (0) 20 7619 5003","Highbury House, 75 Drayton Park, London, N5 1BU","105m x 68m",60260,2006,"Arsenal"
"Villa Park","+44 (0)121 327 5353","Villa Park, Trinity Road, Birmingham, B6 6HE","105m x 68m",42682,1897,"Aston Villa"
"Brentford Community Stadium","+44 (0) 20 8847 2511","Brentford Community Stadium, Lionel Road South, Brentford, TW8 0RU","105m x 68m",17250,2020,"Brentford"
"Amex Stadium","+44 (0) 344 324 6282","American Express Community Stadium, Village Way, Brighton, BN1 9BL","105m x 68m",30666,2011,"Brighton and Hove Albion"
"Turf Moor","+44 (0) 871 221 1882","Turf Moor, Harry Potts Way, Burnley, Lancashire, BB10 4BX","105m x 68m",21944,1883,"Burnley"
"Stamford Bridge","0044 207 386 9373","Stamford Bridge, Fulham Road, London, SW6 1HS","103m x 67.5m",40853,1877,"Chelsea"
"Selhurst Park","+44 (0) 20 8768 6000","Selhurst Park Stadium, Holmesdale Road, London, SE25 6PU","101m x 68m",25486,1924,"Crystal Palace"
"Goodison Park","+44 (0) 151 556 1878","Goodison Park, Goodison Road, Liverpool, L4 4EL","100.48m x 68m",39221,1892,"Everton"
"Elland Road","0871 334 1919","Elland Road, Leeds, LS11 0ES","106m x 69m",37890,1897,"Leeds United"
"King Power Stadium","+44 (0) 344 815 5000","King Power Stadium, Filbert Way, Leicester, LE2 7FL","105m x 68m",32273,2002,"Leicester City"
"Anfield","+44 (0)151 263 2361","Anfield, Anfield Road, Liverpool, L4 0TH","101m x 68m",53394,1884,"Liverpool"
"Etihad Stadium","+44 (0) 161 444 1894","Etihad Stadium, Etihad Campus, Manchester, M11 3FF","105m x 68m",55017,2002,"Manchester City"
"Old Trafford","+44 (0) 161 868 8000","Sir Matt Busby Way, Old Trafford, Manchester, M16 0RA","105m x 68m",74879,1909,"Manchester United"
"St. James' Park","+44 (0) 844 372 1892","St. James' Park, Strawberry Place, Newcastle Upon Tyne, NE1 4ST","105m x 68m",52305,1892,"Newcastle United"
"Carrow Road","01603 760 760","Carrow Road, Norwich, NR1 1JE","104m x 68m",27359,1935,"Norwich City"
"St. Mary's Stadium","+44 (0) 845 688 9448","St Mary's Stadium, Britannia Road, Southampton, SO14 5FP","105m x 68m",32384,2001,"Southampton"
"Tottenham Hotspur Stadium","+44 (0) 344 499 5000","Lilywhite House, 782 High Road, Tottenham, London, N17 0BX","100m x 67m",62062,2019,"Tottenham Hotspur"
"Vicarage Road","+44 (0) 1923 496000","Vicarage Road Stadium, Watford, Hertfordshire, WD18 0ER","105m x 68m",21000,1922,"Watford"
"London Stadium","+44 (0)20 85482748","London Stadium, Queen Elizabeth Olympic Park, London, E20 2ST","105m x 68m",60000,2011,"West Ham United"
"Molineux Stadium","+44 (0) 871 222 1877","Molineux Stadium, Waterloo Rd, Wolverhampton, WV1 4QR","105m x 68m",32050,1889,"Wolverhampton Wanderers"